server,hops
1.1.1.1,10
atl.speedtest.clouvider.net,12
lon.speedtest.clouvider.net,12
paris.testdebit.info,15
aix-marseille.testdebit.info,16
lyon.testdebit.info,17
la.speedtest.clouvider.net,13
nyc.speedtest.clouvider.net,16
